data extract finished>>>begin EM algorithm>>>2018-04-30 09:28:38,819 INFO    : data extract finished>>>begin EM algorithm>>>
2018-04-30 09:31:21,270 INFO    : EM (continu) distrib_nb: 2 4/4 gain: 1.000000 -- empty
2018-04-30 09:31:21,270 INFO    : EM (start) distrib_nb: 2 1/8 gain: 3.000000 -- empty
2018-04-30 09:31:21,271 INFO    : EM (continu) distrib_nb: 2 2/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,271 INFO    : EM (continu) distrib_nb: 2 3/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,271 INFO    : EM (continu) distrib_nb: 2 4/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,271 INFO    : EM (continu) distrib_nb: 2 5/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,271 INFO    : EM (continu) distrib_nb: 2 6/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,271 INFO    : EM (continu) distrib_nb: 2 7/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,271 INFO    : EM (continu) distrib_nb: 2 8/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,271 INFO    : EM (start) distrib_nb: 2 1/8 gain: 3.000000 -- empty
2018-04-30 09:31:21,271 INFO    : EM (continu) distrib_nb: 2 2/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,271 INFO    : EM (continu) distrib_nb: 2 3/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,271 INFO    : EM (continu) distrib_nb: 2 4/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,272 INFO    : EM (continu) distrib_nb: 2 5/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,272 INFO    : EM (continu) distrib_nb: 2 6/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,272 INFO    : EM (continu) distrib_nb: 2 7/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,272 INFO    : EM (continu) distrib_nb: 2 8/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,272 INFO    : EM (start) distrib_nb: 2 1/8 gain: 3.000000 -- empty
2018-04-30 09:31:21,272 INFO    : EM (continu) distrib_nb: 2 2/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,272 INFO    : EM (continu) distrib_nb: 2 3/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,272 INFO    : EM (continu) distrib_nb: 2 4/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,272 INFO    : EM (continu) distrib_nb: 2 5/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,272 INFO    : EM (continu) distrib_nb: 2 6/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,273 INFO    : EM (continu) distrib_nb: 2 7/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,273 INFO    : EM (continu) distrib_nb: 2 8/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,273 INFO    : EM (start) distrib_nb: 2 1/8 gain: 3.000000 -- empty
2018-04-30 09:31:21,273 INFO    : EM (continu) distrib_nb: 2 2/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,273 INFO    : EM (continu) distrib_nb: 2 3/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,273 INFO    : EM (continu) distrib_nb: 2 4/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,273 INFO    : EM (continu) distrib_nb: 2 5/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,273 INFO    : EM (continu) distrib_nb: 2 6/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,273 INFO    : EM (continu) distrib_nb: 2 7/8 gain: 1.000000 -- empty
2018-04-30 09:31:21,273 INFO    : EM (continu) distrib_nb: 2 8/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,854 INFO    : data extract finished>>>begin EM algorithm>>>
2018-04-30 09:32:02,854 INFO    : EM (start) distrib_nb: 2 1/1 gain: 3.000000 -- empty
2018-04-30 09:32:02,855 INFO    : EM (start) distrib_nb: 2 1/2 gain: 3.000000 -- empty
2018-04-30 09:32:02,855 INFO    : EM (continu) distrib_nb: 2 2/2 gain: 1.000000 -- empty
2018-04-30 09:32:02,855 INFO    : EM (start) distrib_nb: 2 1/2 gain: 3.000000 -- empty
2018-04-30 09:32:02,855 INFO    : EM (continu) distrib_nb: 2 2/2 gain: 1.000000 -- empty
2018-04-30 09:32:02,855 INFO    : EM (start) distrib_nb: 2 1/4 gain: 3.000000 -- empty
2018-04-30 09:32:02,855 INFO    : EM (continu) distrib_nb: 2 2/4 gain: 1.000000 -- empty
2018-04-30 09:32:02,855 INFO    : EM (continu) distrib_nb: 2 3/4 gain: 1.000000 -- empty
2018-04-30 09:32:02,855 INFO    : EM (continu) distrib_nb: 2 4/4 gain: 1.000000 -- empty
2018-04-30 09:32:02,855 INFO    : EM (start) distrib_nb: 2 1/4 gain: 3.000000 -- empty
2018-04-30 09:32:02,856 INFO    : EM (continu) distrib_nb: 2 2/4 gain: 1.000000 -- empty
2018-04-30 09:32:02,856 INFO    : EM (continu) distrib_nb: 2 3/4 gain: 1.000000 -- empty
2018-04-30 09:32:02,856 INFO    : EM (continu) distrib_nb: 2 4/4 gain: 1.000000 -- empty
2018-04-30 09:32:02,856 INFO    : EM (start) distrib_nb: 2 1/4 gain: 3.000000 -- empty
2018-04-30 09:32:02,856 INFO    : EM (continu) distrib_nb: 2 2/4 gain: 1.000000 -- empty
2018-04-30 09:32:02,856 INFO    : EM (continu) distrib_nb: 2 3/4 gain: 1.000000 -- empty
2018-04-30 09:32:02,856 INFO    : EM (continu) distrib_nb: 2 4/4 gain: 1.000000 -- empty
2018-04-30 09:32:02,856 INFO    : EM (start) distrib_nb: 2 1/4 gain: 3.000000 -- empty
2018-04-30 09:32:02,856 INFO    : EM (continu) distrib_nb: 2 2/4 gain: 1.000000 -- empty
2018-04-30 09:32:02,857 INFO    : EM (continu) distrib_nb: 2 3/4 gain: 1.000000 -- empty
2018-04-30 09:32:02,857 INFO    : EM (continu) distrib_nb: 2 4/4 gain: 1.000000 -- empty
2018-04-30 09:32:02,857 INFO    : EM (start) distrib_nb: 2 1/8 gain: 3.000000 -- empty
2018-04-30 09:32:02,857 INFO    : EM (continu) distrib_nb: 2 2/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,857 INFO    : EM (continu) distrib_nb: 2 3/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,857 INFO    : EM (continu) distrib_nb: 2 4/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,857 INFO    : EM (continu) distrib_nb: 2 5/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,857 INFO    : EM (continu) distrib_nb: 2 6/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,857 INFO    : EM (continu) distrib_nb: 2 7/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,858 INFO    : EM (continu) distrib_nb: 2 8/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,858 INFO    : EM (start) distrib_nb: 2 1/8 gain: 3.000000 -- empty
2018-04-30 09:32:02,858 INFO    : EM (continu) distrib_nb: 2 2/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,858 INFO    : EM (continu) distrib_nb: 2 3/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,858 INFO    : EM (continu) distrib_nb: 2 4/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,858 INFO    : EM (continu) distrib_nb: 2 5/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,858 INFO    : EM (continu) distrib_nb: 2 6/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,858 INFO    : EM (continu) distrib_nb: 2 7/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,858 INFO    : EM (continu) distrib_nb: 2 8/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,859 INFO    : EM (start) distrib_nb: 2 1/8 gain: 3.000000 -- empty
2018-04-30 09:32:02,859 INFO    : EM (continu) distrib_nb: 2 2/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,859 INFO    : EM (continu) distrib_nb: 2 3/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,859 INFO    : EM (continu) distrib_nb: 2 4/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,859 INFO    : EM (continu) distrib_nb: 2 5/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,859 INFO    : EM (continu) distrib_nb: 2 6/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,859 INFO    : EM (continu) distrib_nb: 2 7/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,859 INFO    : EM (continu) distrib_nb: 2 8/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,859 INFO    : EM (start) distrib_nb: 2 1/8 gain: 3.000000 -- empty
2018-04-30 09:32:02,859 INFO    : EM (continu) distrib_nb: 2 2/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,860 INFO    : EM (continu) distrib_nb: 2 3/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,860 INFO    : EM (continu) distrib_nb: 2 4/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,860 INFO    : EM (continu) distrib_nb: 2 5/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,860 INFO    : EM (continu) distrib_nb: 2 6/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,860 INFO    : EM (continu) distrib_nb: 2 7/8 gain: 1.000000 -- empty
2018-04-30 09:32:02,860 INFO    : EM (continu) distrib_nb: 2 8/8 gain: 1.000000 -- empty
2018-04-30 09:47:14,806 INFO    : =================================================================================================
2018-04-30 10:44:16,419 INFO    : EM (start) distrib_nb: 2 1/1 gain: -3094866456771531.000000
2018-04-30 11:26:17,893 INFO    : EM (start) distrib_nb: 4 1/2 gain: -2127919627021747.000000
2018-04-30 12:08:15,861 INFO    : EM (continu) distrib_nb: 4 2/2 gain: 150219294545767.500000
2018-04-30 12:50:48,527 INFO    : EM (start) distrib_nb: 8 1/2 gain: -1972680640490675.250000
2018-04-30 13:33:23,956 INFO    : EM (continu) distrib_nb: 8 2/2 gain: 62110777332940.000000
2018-04-30 14:16:45,700 INFO    : EM (start) distrib_nb: 16 1/4 gain: -1826472259488029.250000
2018-04-30 15:00:27,089 INFO    : EM (break) distrib_nb: 16 2/4 gain: -69826755994428.250000
2018-04-30 15:46:21,813 INFO    : EM (start) distrib_nb: 32 1/4 gain: -1750756296168107.500000
2018-04-30 16:32:18,182 INFO    : EM (continu) distrib_nb: 32 2/4 gain: 17411028255674.000000
2018-04-30 17:18:07,154 INFO    : EM (continu) distrib_nb: 32 3/4 gain: 120685663411568.750000
2018-04-30 18:04:49,572 INFO    : EM (break) distrib_nb: 32 4/4 gain: -87965202362651.250000
2018-04-30 18:53:39,176 INFO    : EM (start) distrib_nb: 64 1/4 gain: -1520793247278909.750000
2018-04-30 19:43:31,825 INFO    : EM (break) distrib_nb: 64 2/4 gain: -34442654103931.250000
2018-04-30 20:39:35,552 INFO    : EM (start) distrib_nb: 128 1/4 gain: -1291538015177254.500000
2018-04-30 21:35:14,471 INFO    : EM (break) distrib_nb: 128 2/4 gain: -92861567602807.500000
2018-04-30 22:45:01,277 INFO    : EM (start) distrib_nb: 256 1/8 gain: -1168479572331321.250000
2018-04-30 23:53:26,171 INFO    : EM (break) distrib_nb: 256 2/8 gain: -68284705226918.750000
2018-05-01 01:27:36,257 INFO    : EM (start) distrib_nb: 512 1/8 gain: -1052508652263479.375000
2018-05-01 03:09:24,269 INFO    : EM (break) distrib_nb: 512 2/8 gain: -208483241201256.625000
2018-05-01 06:04:17,971 INFO    : EM (start) distrib_nb: 1024 1/8 gain: -988834693640417.500000
2018-05-01 08:48:08,746 INFO    : EM (continu) distrib_nb: 1024 2/8 gain: 129160907043901.875000
2018-05-01 11:47:32,362 INFO    : EM (break) distrib_nb: 1024 3/8 gain: -260668213919284.500000
2018-05-01 16:35:28,146 INFO    : EM (start) distrib_nb: 2048 1/8 gain: -860198170602385.250000
2018-05-01 21:29:35,135 INFO    : EM (break) distrib_nb: 2048 2/8 gain: -96876012731257.750000
2018-05-02 21:11:37,269 INFO    : =================================================================================================
2018-05-02 21:11:37,269 INFO    : =================================================================================================
2018-05-02 21:11:37,269 INFO    : =================================================================================================
2018-05-02 21:11:37,269 INFO    : =================================================================================================
2018-05-02 21:11:37,270 INFO    : =================================================================================================
2018-05-02 21:11:37,271 INFO    : =================================================================================================
2018-05-02 21:11:37,271 INFO    : =================================================================================================
2018-05-02 21:11:37,273 INFO    : =================================================================================================
2018-05-02 21:11:37,273 INFO    : =================================================================================================
2018-05-02 21:11:37,273 INFO    : =================================================================================================
2018-05-02 21:11:37,273 INFO    : =================================================================================================
2018-05-02 21:11:37,274 INFO    : =================================================================================================
2018-05-02 21:11:37,274 INFO    : =================================================================================================
2018-05-02 21:11:37,274 INFO    : =================================================================================================
2018-05-02 21:11:37,274 INFO    : =================================================================================================
2018-05-02 21:11:37,275 INFO    : =================================================================================================
2018-05-02 21:11:37,276 INFO    : =================================================================================================
2018-05-02 21:11:37,276 INFO    : =================================================================================================
2018-05-02 21:11:37,276 INFO    : =================================================================================================
2018-05-02 21:11:37,276 INFO    : =================================================================================================
2018-05-02 21:11:37,277 INFO    : =================================================================================================
2018-05-02 21:11:37,277 INFO    : =================================================================================================
2018-05-02 21:11:37,277 INFO    : =================================================================================================
2018-05-02 21:11:37,277 INFO    : =================================================================================================
2018-05-02 21:11:37,277 INFO    : =================================================================================================
2018-05-02 21:11:37,278 INFO    : =================================================================================================
2018-05-02 21:11:37,278 INFO    : =================================================================================================
2018-05-02 21:11:37,279 INFO    : =================================================================================================
2018-05-02 21:11:37,291 INFO    : =================================================================================================
2018-05-02 21:11:37,293 INFO    : =================================================================================================
2018-05-02 21:11:37,297 INFO    : =================================================================================================
2018-05-02 21:11:37,316 INFO    : =================================================================================================
2018-05-02 21:12:21,352 INFO    : =================================================================================================
2018-05-03 17:14:41,587 INFO    : =================================================================================================
2018-05-03 17:15:22,445 INFO    : =================================================================================================
2018-05-03 19:13:47,436 INFO    : =================================================================================================
2018-05-04 08:54:41,242 INFO    : =================================================================================================
2018-05-04 08:55:17,019 INFO    : =================================================================================================
2018-05-04 09:03:00,648 INFO    : =================================================================================================
2018-05-04 09:05:45,124 INFO    : =================================================================================================
2018-05-04 12:54:43,011 INFO    : =================================================================================================
2018-05-04 13:31:23,232 INFO    : =================================================================================================
2018-05-04 13:52:15,067 INFO    : Estimate between class covariance, it 1 / 10
